Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2026-02-08,Hamnet,2025,https://boxd.it/d2zKgL,,,,2026-02-08
2026-02-09,Caught Stealing,2025,https://boxd.it/d2MtUb,,,netflix,2026-02-08
2026-02-19,The Handmaiden,2016,https://boxd.it/dcd7Q7,,Yes,kr,2026-02-18
2026-02-20,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/dd4GdF,,,,2026-02-19
2026-03-01,Mishima: A Life in Four Chapters,1985,https://boxd.it/dkVuSP,,,"jp, mubi",2026-02-28
2026-03-01,The Bad Guys 2,2025,https://boxd.it/dl1L3h,,,hotstar,2026-02-28
2026-03-02,Lokah Chapter 1: Chandra,2025,https://boxd.it/dmdbpz,,,"hotstar, ml",2026-03-01
2026-03-03,The Secret Agent,2025,https://boxd.it/dn3BKH,,,"theatre, pt",2026-03-02
2026-03-04,Hamnet,2025,https://boxd.it/dnzxVl,,Yes,theatre,2026-03-03
2026-03-05,Ne Zha,2019,https://boxd.it/dou7Kv,,,zh,2026-03-04
2026-03-06,Ne Zha 2,2025,https://boxd.it/doYwZv,,,"zh, hotstar",2026-03-05
2026-03-08,Beautiful Boy,2018,https://boxd.it/dqx2CZ,,,prime,2026-03-06
2026-03-07,The Bride!,2026,https://boxd.it/dqjBtl,,,theatre,2026-03-07
2026-03-09,No Smoking,2007,https://boxd.it/drEHNd,,,"hi, prime",2026-03-08
2026-03-25,Dhurandhar The Revenge,2026,https://boxd.it/dFpsrH,,,"theatre, hi",2026-03-24
2026-04-02,Project Hail Mary,2026,https://boxd.it/dMgP1x,,,"theatre, dolby",2026-04-01
2026-04-05,The Drama,2026,https://boxd.it/dPvNSr,,,theatre,2026-04-04
2026-04-05,GOAT,2026,https://boxd.it/dQcBpX,,,,2026-04-05
2026-04-11,Donnie Darko,2001,https://boxd.it/dVBK4f,,,prime,2026-04-11
2026-04-15,Hiroshima Mon Amour,1959,https://boxd.it/dYutnR,,,"mubi, fr",2026-04-14
2026-04-15,La Jetée,1962,https://boxd.it/dYwl89,,,"fr, mubi",2026-04-14
2026-04-29,Dev.D,2009,https://boxd.it/e9Azav,,,"hi, theatre",2026-04-28
2026-05-07,Do the Right Thing,1989,https://boxd.it/eg3YD5,3,,mubi,2026-05-06
2026-05-08,Dacoit,2026,https://boxd.it/ehgSQR,0.5,,"te, prime",2026-05-07
2026-05-12,BEEF,2023,https://boxd.it/ekiAKH,,,netflix,2026-05-11
2026-05-13,Punch-Drunk Love,2002,https://boxd.it/ekYtLH,4.5,Yes,,2026-05-12
2026-05-15,Tampopo,1985,https://boxd.it/emqLGF,4,,jp,2026-05-14
2026-05-17,The Devil Wears Prada,2006,https://boxd.it/eoH5YT,3.5,,hotstar,2026-05-17
2026-05-19,Primal Fear,1996,https://boxd.it/epIXff,4,,netflix,2026-05-18
2026-05-20,A Different Man,2024,https://boxd.it/eqKrC5,4,,netflix,2026-05-19
2026-05-24,Taxi Driver,1976,https://boxd.it/etqz2V,3,,netflix,2026-05-23
2026-05-25,The Sheep Detectives,2026,https://boxd.it/eusnCP,3,,theatre,2026-05-24
2026-05-25,18x2 Beyond Youthful Days,2024,https://boxd.it/evb479,4,,"netflix, tw, jp",2026-05-25
2026-05-26,Love Letter,1995,https://boxd.it/evm2of,4.5,,jp,2026-05-25
2026-05-26,The Hunt,2012,https://boxd.it/evwxT9,4.5,,da,2026-05-26
2026-05-28,Lost and Found,1996,https://boxd.it/exiCpX,4,,cn,2026-05-27
2026-05-28,Anna Magdalena,1998,https://boxd.it/exHOg9,3,,cn,2026-05-28
2026-05-29,First Love: The Litter on the Breeze,1997,https://boxd.it/exVuxR,3.5,,cn,2026-05-28
2026-05-29,Anantaram,1987,https://boxd.it/eysQJh,3,,ml,2026-05-29
2026-05-31,The Ballad of Buster Scruggs,2018,https://boxd.it/ezQ8Hj,4,,netflix,2026-05-30
2026-05-31,The Power of the Dog,2021,https://boxd.it/eAqE2f,4,,netflix,2026-05-31
2026-06-01,Z,1969,https://boxd.it/eATTCF,5,,fr,2026-06-01
2026-06-02,Pierrot le Fou,1965,https://boxd.it/eBO8TN,3,,fr,2026-06-02
2026-06-04,Band of Outsiders,1964,https://boxd.it/eDnb0F,2.5,,fr,2026-06-03
2026-06-04,The Battle of Algiers,1966,https://boxd.it/eDv0Gh,5,,"fr, it, ar",2026-06-04
2026-06-06,The Conformist,1970,https://boxd.it/eFcrWB,4,,it,2026-06-05
2026-06-07,The Hand of God,2021,https://boxd.it/eG4hhL,3.5,,"it, netflix",2026-06-06
2026-06-08,8½,1963,https://boxd.it/eHuAhV,5,,it,2026-06-07
2026-06-17,Backrooms,2026,https://boxd.it/eOIwAZ,3,,theatre,2026-06-16
